Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784917067,50,,Aggregated,1.250000,0.000000,6200,6700,6800,6900,7700,7700,8400,8400,8400,8400,8400,22,0,6000,5540.007390545394,421.7288949985232,8428.244213999278,1877.3181818181818
1784917068,50,POST,_setup/variants,0.111111,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917068,50,POST,browse/product_list,0.777778,0.000000,6700,7000,7000,7000,7700,8000,8000,8000,8000,8000,8000,12,0,6200,6376.441034999516,4065.8501430007163,8034.369401000731,3669.0
1784917068,50,POST,checkout/1_create,0.555556,0.000000,6000,6800,6900,6900,7700,7700,7700,7700,7700,7700,7700,8,0,5800,5837.067670750912,4059.2552080015594,7734.079709000071,255.0
1784917068,50,POST,detail/product,0.111111,0.000000,6400,6400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,6400,6352.17927299891,4231.854243997077,8428.244213999278,737.6666666666666
1784917068,50,POST,search/products,0.111111,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2,0,491.1332419978862,2761.827591997644,491.1332419978862,5032.521941997402,473.0
1784917068,50,,Aggregated,1.666667,0.000000,6200,6700,7000,7000,7700,8000,8400,8400,8400,8400,8400,26,0,6200,5700.605987845847,421.7288949985232,8428.244213999278,2030.8461538461538
1784917069,50,POST,_setup/variants,0.111111,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
1784917069,50,POST,browse/product_list,0.777778,0.000000,6700,7000,7000,7000,7700,8000,8000,8000,8000,8000,8000,12,0,6200,6376.441034999516,4065.8501430007163,8034.369401000731,3669.0
1784917069,50,POST,checkout/1_create,0.555556,0.000000,6000,6800,6900,6900,7700,7700,7700,7700,7700,7700,7700,8,0,5800,5837.067670750912,4059.2552080015594,7734.079709000071,255.0
1784917069,50,POST,detail/product,0.111111,0.000000,6400,6400,8400,8400,8400,8400,8400,8400,8400,8400,8400,3,0,6400,6352.17927299891,4231.854243997077,8428.244213999278,737.6666666666666
1784917069,50,POST,search/products,0.111111,0.000000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,2,0,491.1332419978862,2761.827591997644,491.1332419978862,5032.521941997402,473.0
1784917069,50,,Aggregated,1.666667,0.000000,6200,6700,7000,7000,7700,8000,8400,8400,8400,8400,8400,26,0,6200,5700.605987845847,421.7288949985232,8428.244213999278,2030.8461538461538
1784917070,50,POST,_setup/variants,0.111111,0.000000,420,420,420,420,420,420,420,420,420,420,420,1,0,421.7288949985232,421.7288949985232,421.7288949985232,421.7288949985232,3575.0
